152403763	有种你爱我	7.0	2015-02-06	爱情,剧情,喜剧	中国大陆	国语	1小时45分钟	李欣蔓	江一燕 郑凯 师春玲 李长麟 李欣蔓 常方源
227914486	摩尔庄园3：魔幻列车大冒险	7.0	2015-02-05	动画,冒险,家庭	中国大陆	国语	1小时25分钟	李婷婷	杨鸥 夏磊 谢添天 冯骏骅 醋醋
226373740	喜羊羊与灰太狼之羊年喜羊羊	7.0	2015-01-31	动画,冒险,家庭,喜剧	中国大陆	国语	1小时35分钟	黄伟明	祖晴 高全胜 张琳 梁颖
226134717	宝贝，对不起	7.0	2015-01-31	真人秀,家庭	中国大陆	国语	1小时35分钟	潘礼平 	王艳 王泓钦 马景涛 马世天 邵兵 邵子娇 邵子恒 小小彬 小彬彬
227911974	时光大战	7.0	2015-01-30	科幻,动作	中国大陆	国语	1小时30分钟	李长欣	康恩赫 刘萌萌 张炜迅 郭晨
227415940	奔跑吧兄弟	7.0	2015-01-30	喜剧,冒险	中国大陆	国语	1小时30分钟	胡笳 岑俊义	杨颖 王宝强 李晨 陈赫 郑恺 王祖蓝
226031632	坚不可摧	7.0	2015-01-30	剧情,动作,战争	美国	英语/日语/意大利语	2小时17分钟	安吉丽娜·朱莉	杰·科特尼 加内特·赫德兰  多姆纳尔·格利森 杰克·奥康奈尔
225304145	熊出没之雪岭熊风	7.0	2015-01-30	动画,家庭,喜剧	中国大陆	国语	1小时36分钟	丁亮	张伟 张秉君 谭笑 孟雨田 孙尧东
197932402	热血男人帮	7.0	2015-01-29	喜剧	中国大陆	国语	1小时40分钟	査慕春	陈翔 英达 戴立忍 黄秋生 周海媚 刘仪伟
229174128	奔驰的大葱	7.0	2015-01-27	喜剧	中国大陆	国语	1小时30分钟	郭明尔	周德华 韩雪微 董立范 宇菲
215320603	青涩日记	7.0	2015-01-24	爱情,青春,剧情	中国大陆	国语	1小时32分钟	 谢悠	陈赋 季纯伊
228153809	黄金福将	7.0	2015-01-23	喜剧,剧情	中国大陆	国语	1小时30分钟	王伟	李承铉 张蓝心 张一山 刘桦
228152293	味道中国	7.0	2015-01-23	纪录片	中国大陆	国语	1小时26分钟	黄瀛灏 张伟 王冰 金莹	仰振华 陈汉宗 陈君凡 毛协俊 游强
227907514	怪谈	7.0	2015-01-23	惊悚	中国大陆	国语	1小时29分钟	叶伟民	李治廷 文咏珊 朱珠 黄明 杨洋 吕聿来 林江国 冯文娟
221272222	我要你开花	7.0	2015-01-23	剧情,喜剧	中国大陆	国语	1小时30分钟	黄微	刘洋 强巴才丹 夏炎
